joint,time,target_pos,actual_pos
joint5,1.98,-0.018837155774235725,-0.04277976229786873
joint5,1.99,-0.009423227980732918,-0.033539045602083206
joint5,2.0,1.2587887919252982e-15,-0.024259721860289574
joint5,2.01,0.009423227980732918,-0.01495094783604145
joint5,2.02,0.018837155774235725,-0.005621928721666336
joint5,2.03,0.028232494369149208,0.0037181186489760876
joint5,2.04,0.037599969655275345,0.013059977442026138
joint5,2.05,0.04693033918738365,0.02239442802965641
joint5,2.06,0.05621439591050148,0.03171224147081375
joint5,2.07,0.06544297188520432,0.04100422188639641
joint5,2.08,0.07460696250200272,0.050261203199625015
joint5,2.09,0.08369733393192291,0.05947407707571983
joint5,2.1,0.09270510077476501,0.06863369792699814
joint5,2.11,0.10162137448787689,0.07773106545209885
joint5,2.12,0.11043736338615417,0.08675718307495117
joint5,2.13,0.11914436519145966,0.09570316970348358
joint5,2.14,0.12773378193378448,0.10456016659736633
joint5,2.15,0.13619714975357056,0.11331945657730103
joint5,2.16,0.14452610909938812,0.12197241187095642
joint5,2.17,0.15271241962909698,0.13051050901412964
joint5,2.18,0.16074803471565247,0.13892532885074615
joint5,2.19,0.16862501204013824,0.1472085863351822
joint5,2.2,0.17633557319641113,0.1553521603345871
joint5,2.21,0.18387211859226227,0.16334795951843262
joint5,2.22,0.19122719764709473,0.1711881011724472
joint5,2.23,0.1983935534954071,0.1788649559020996
joint5,2.24,0.2053641378879547,0.18637095391750336
joint5,2.25,0.2121320366859436,0.19369861483573914
joint5,2.26,0.21869058907032013,0.2008408159017563
joint5,2.27,0.22503332793712616,0.2077905386686325
joint5,2.28,0.23115397989749908,0.21454089879989624
joint5,2.29,0.2370465099811554,0.221085324883461
joint5,2.3,0.2427050918340683,0.22741730511188507
joint5,2.31,0.2481241673231125,0.23353062570095062
joint5,2.32,0.2532983720302582,0.23941926658153534
joint5,2.33,0.2582226097583771,0.245077446103096
joint5,2.34,0.2628920078277588,0.2504996955394745
joint5,2.35,0.2673019468784332,0.25568053126335144
joint5,2.36,0.2714481055736542,0.2606149911880493
joint5,2.37,0.2753264009952545,0.26529812812805176
joint5,2.38,0.27893295884132385,0.26972541213035583
joint5,2.39,0.28226423263549805,0.2738925516605377
joint5,2.4,0.28531694412231445,0.27779537439346313
joint5,2.41,0.2880881130695343,0.2814299464225769
joint5,2.42,0.29057493805885315,0.2847929000854492
joint5,2.43,0.29277503490448,0.2878807485103607
joint5,2.44,0.2946861684322357,0.29069051146507263
joint5,2.45,0.2963064908981323,0.29321956634521484
joint5,2.46,0.29763442277908325,0.2954653203487396
joint5,2.47,0.29866859316825867,0.2974255383014679
joint5,2.48,0.2994080185890198,0.299098402261734
joint5,2.49,0.2998519539833069,0.3004821538925171
joint5,2.5,0.30000001192092896,0.30157551169395447
joint5,2.51,0.2998519539833069,0.3023773431777954
joint5,2.52,0.2994080185890198,0.30288681387901306
joint5,2.53,0.29866859316825867,0.3031035363674164
joint5,2.54,0.29763442277908325,0.3030272126197815
joint5,2.55,0.2963064908981323,0.3026581406593323
joint5,2.56,0.2946861684322357,0.30199646949768066
joint5,2.57,0.29277503490448,0.30104294419288635
joint5,2.58,0.29057493805885315,0.29979854822158813
joint5,2.59,0.2880881130695343,0.29826444387435913
joint5,2.6,0.28531694412231445,0.2964421212673187
joint5,2.61,0.28226423263549805,0.29433339834213257
joint5,2.62,0.27893295884132385,0.2919403314590454
joint5,2.63,0.2753264009952545,0.28926536440849304
joint5,2.64,0.2714481055736542,0.2863110899925232
joint5,2.65,0.2673019468784332,0.2830803692340851
joint5,2.66,0.2628920078277588,0.2795764207839966
joint5,2.67,0.2582226097583771,0.2758026421070099
joint5,2.68,0.2532983720302582,0.27176278829574585
joint5,2.69,0.2481241673231125,0.26746082305908203
joint5,2.7,0.2427050918340683,0.26290103793144226
joint5,2.71,0.2370465099811554,0.25808796286582947
joint5,2.72,0.23115397989749908,0.2530261278152466
joint5,2.73,0.22503332793712616,0.24772070348262787
joint5,2.74,0.21869058907032013,0.2421768605709076
joint5,2.75,0.2121320366859436,0.23639997839927673
joint5,2.76,0.2053641378879547,0.23039588332176208
joint5,2.77,0.1983935534954071,0.22417032718658447
joint5,2.78,0.19122719764709473,0.21772950887680054
joint5,2.79,0.18387211859226227,0.2110797017812729
joint5,2.8,0.17633557319641113,0.20422758162021637
